fiber_id,fiber_ip_path,num_wave
1,s1-s5,4
2,s1-s6,4
3,s1-s11,4
4,s2-s3,4
5,s2-s4,4
6,s2-s9,4
7,s2-s7,4
8,s2-s11,4
9,s2-s15,4
10,s3-s4,4
11,s3-s5,4
12,s3-s8,4
13,s3-s9,4
14,s3-s10,4
15,s3-s12,4
16,s3-s13,4
17,s3-s14,4
18,s3-s15,4
19,s3-s16,4
20,s3-s17,4
21,s4-s7,4
22,s4-s8,4
23,s4-s9,4
24,s4-s10,4
25,s4-s11,4
26,s4-s15,4
27,s4-s16,4
28,s5-s6,4
29,s5-s8,4
30,s5-s11,4
31,s5-s14,4
32,s5-s15,4
33,s5-s16,4
34,s6-s5,4
35,s6-s7,4
36,s6-s10,4
37,s6-s11,4
38,s6-s12,4
39,s6-s13,4
40,s6-s15,4
41,s6-s16,4
42,s7-s4,4
43,s7-s6,4
44,s7-s8,4
45,s7-s9,4
46,s7-s10,4
47,s7-s13,4
48,s7-s15,4
49,s7-s16,4
50,s8-s1,4
51,s8-s3,4
52,s8-s4,4
53,s8-s5,4
54,s8-s7,4
55,s8-s9,4
56,s8-s10,4
57,s8-s11,4
58,s8-s12,4
59,s8-s13,4
60,s8-s14,4
61,s8-s16,4
62,s9-s2,4
63,s9-s3,4
64,s9-s4,4
65,s9-s7,4
66,s9-s8,4
67,s9-s11,4
68,s9-s12,4
69,s9-s13,4
70,s9-s14,4
71,s9-s15,4
72,s9-s16,4
73,s10-s3,4
74,s10-s4,4
75,s10-s6,4
76,s10-s7,4
77,s10-s8,4
78,s10-s11,4
79,s10-s12,4
80,s10-s16,4
81,s10-s17,4
82,s11-s1,4
83,s11-s2,4
84,s11-s4,4
85,s11-s5,4
86,s11-s6,4
87,s11-s8,4
88,s11-s9,4
89,s11-s10,4
90,s11-s12,4
91,s11-s14,4
92,s11-s15,4
93,s11-s16,4
94,s11-s17,4
95,s12-s1,4
96,s12-s3,4
97,s12-s6,4
98,s12-s8,4
99,s12-s9,4
100,s12-s10,4
101,s12-s11,4
102,s12-s13,4
103,s12-s14,4
104,s12-s15,4
105,s12-s17,4
106,s13-s1,4
107,s13-s3,4
108,s13-s6,4
109,s13-s7,4
110,s13-s8,4
111,s13-s9,4
112,s13-s12,4
113,s13-s14,4
114,s13-s15,4
115,s13-s17,4
116,s14-s3,4
117,s14-s5,4
118,s14-s8,4
119,s14-s9,4
120,s14-s11,4
121,s14-s12,4
122,s14-s13,4
123,s14-s15,4
124,s14-s17,4
125,s15-s1,4
126,s15-s2,4
127,s15-s3,4
128,s15-s4,4
129,s15-s5,4
130,s15-s6,4
131,s15-s7,4
132,s15-s9,4
133,s15-s11,4
134,s15-s12,4
135,s15-s13,4
136,s15-s14,4
137,s15-s16,4
138,s16-s3,4
139,s16-s4,4
140,s16-s5,4
141,s16-s6,4
142,s16-s7,4
143,s16-s8,4
144,s16-s9,4
145,s16-s10,4
146,s16-s11,4
147,s16-s15,4
148,s17-s1,4
149,s17-s3,4
150,s17-s10,4
151,s17-s11,4
152,s17-s12,4
153,s17-s13,4
154,s17-s14,4 
